Dataset Name,Anomaly Percentage,Initial Anomaly Percentage,Resampled Anomaly Percentage,Number of Features,Model,F1 Score,ROC AUC,PR AUC,MCC,Kappa,Number of Samples,,,
Asatimage-2.npz,20,50,20,36,ISOFOREST,0.809248555,0.99345368,0.983100036,0.771900529,0.750378215,5803,,,
Asatimage-2.npz,30,50,30.08474576,36,ABOD,0.898734177,0.997097738,0.993982214,0.858461277,0.848560199,5803,,,
Asatimage-2.npz,30,50,30.08474576,36,KNN,0.855421687,0.998804951,0.997258511,0.799162241,0.779490773,5803,,,
Asatimage-2.npz,30,50,30.08474576,36,LOF,0.831325301,0.99214682,0.985039755,0.76148323,0.742739235,5803,,,
Asatimage-2.npz,30,50,30.08474576,36,OCSVM,0.864197531,0.996414853,0.993445972,0.809056711,0.79486369,5803,,,
Asatimage-2.npz,30,50,30.08474576,36,ISOFOREST,0.853658537,0.992915066,0.986327176,0.79451056,0.777864931,5803,,,
Asatimage-2.npz,40,50,40.11299435,36,ABOD,0.934210526,0.996013819,0.99454869,0.890982859,0.88507986,5803,,,
Asatimage-2.npz,40,50,40.11299435,36,KNN,0.91025641,0.998804146,0.998375347,0.851453025,0.84056106,5803,,,
Asatimage-2.npz,40,50,40.11299435,36,LOF,0.878980892,0.990964656,0.988589044,0.795748615,0.78410477,5803,,,
Asatimage-2.npz,40,50,40.11299435,36,OCSVM,0.91503268,0.996811055,0.99599872,0.857792626,0.850942541,5803,,,
Asatimage-2.npz,40,50,40.11299435,36,ISOFOREST,0.884615385,0.992027638,0.990906267,0.805308755,0.795007078,5803,,,
Ashuttle.npz,10,50,10,9,ABOD,0.687151385,0.999528718,0.986510298,0.685893488,0.639872035,49097,,,
Ashuttle.npz,10,50,10,9,KNN,0.685006341,0.998441945,0.948067865,0.683877735,0.637313265,49097,,,
Ashuttle.npz,10,50,10,9,LOF,0.685006341,0.998965353,0.969444808,0.683877735,0.637313265,49097,,,
Ashuttle.npz,10,50,10,9,OCSVM,0.671259461,0.994453792,0.951280027,0.667947625,0.621325584,49097,,,
Ashuttle.npz,10,50,10,9,ISOFOREST,0.668850564,0.995771672,0.976740342,0.666371335,0.618340107,49097,,,
Ashuttle.npz,20,50,20,9,ABOD,0.832187722,0.999900544,0.99960194,0.80047175,0.781048986,49097,,,
Ashuttle.npz,20,50,20,9,KNN,0.843483483,0.999172293,0.986372011,0.813427254,0.796387161,49097,,,
Ashuttle.npz,20,50,20,9,LOF,0.830416272,0.999718629,0.996117511,0.798443886,0.778635381,49097,,,
Ashuttle.npz,20,50,20,9,OCSVM,0.824985128,0.99535443,0.981597162,0.790240544,0.771846015,49097,,,
Ashuttle.npz,20,50,20,9,ISOFOREST,0.821085124,0.994811319,0.986551847,0.785355401,0.766653247,49097,,,
Ashuttle.npz,30,50,30.00085448,9,ABOD,0.892589297,0.999894549,0.999752288,0.850220412,0.839149508,49097,,,
Ashuttle.npz,30,50,30.00085448,9,KNN,0.900718317,0.999013355,0.990153372,0.861367426,0.851863953,49097,,,
Ashuttle.npz,30,50,30.00085448,9,LOF,0.893839104,0.999715946,0.997425416,0.851933006,0.841110345,49097,,,
Ashuttle.npz,30,50,30.00085448,9,OCSVM,0.889259164,0.995578471,0.987953676,0.84416548,0.834714749,49097,,,
Ashuttle.npz,30,50,30.00085448,9,ISOFOREST,0.888661115,0.995760204,0.991903346,0.843306289,0.83379639,49097,,,
Ashuttle.npz,40,50,40.00227868,9,ABOD,0.929327687,0.999903997,0.999854761,0.88315736,0.876383614,49097,,,
Ashuttle.npz,40,50,40.00227868,9,KNN,0.93365244,0.99893539,0.993225848,0.890277458,0.884298367,49097,,,
Ashuttle.npz,40,50,40.00227868,9,LOF,0.926385224,0.999604033,0.997491156,0.878313119,0.87097116,49097,,,
Ashuttle.npz,40,50,40.00227868,9,OCSVM,0.924327205,0.995653777,0.99135692,0.873735004,0.86820789,49097,,,
Ashuttle.npz,40,50,40.00227868,9,ISOFOREST,0.92358804,0.996261816,0.994759313,0.872654374,0.866701195,49097,,,
AStamps.npz,20,50,20,9,ABOD,0.766666667,0.957075963,0.745606714,0.711351389,0.710743802,340,,,
AStamps.npz,20,50,20,9,KNN,0.794117647,0.953433923,0.732734937,0.741573521,0.736842105,340,,,
AStamps.npz,20,50,20,9,LOF,0.741935484,0.945109261,0.719674297,0.677419355,0.677419355,340,,,
AStamps.npz,20,50,20,9,OCSVM,0.769230769,0.956555671,0.740465654,0.709380511,0.708171206,340,,,
AStamps.npz,20,50,20,9,ISOFOREST,0.8,0.959417274,0.756164513,0.748357462,0.747081712,340,,,
AStamps.npz,30,50,30.09708738,9,ABOD,0.833333333,0.966397849,0.906218154,0.765794178,0.764947513,340,,,
AStamps.npz,30,50,30.09708738,9,KNN,0.827586207,0.965949821,0.879425047,0.76397999,0.760465116,340,,,
AStamps.npz,30,50,30.09708738,9,LOF,0.771929825,0.957885305,0.857113507,0.69067498,0.68560695,340,,,
AStamps.npz,30,50,30.09708738,9,OCSVM,0.813559322,0.953853047,0.843075641,0.740879574,0.73900023,340,,,
AStamps.npz,30,50,30.09708738,9,ISOFOREST,0.838709677,0.954301075,0.838891866,0.769265233,0.769265233,340,,,
